"","League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Event_Time","Is_Pens","Event_Half","Event_Type","Event_Players","Score_Progression","Penalty_Number"
"1","Premier League","Premier League (Matchweek 1)","Arsenal","4-2-3-1",0,NA,"","0","0","Sunderland","4-5-1",0,NA,"","0","0","https://fbref.com/en/matches/00377122/Arsenal-Sunderland-August-18-2012-Premier-League","Sunderland","Away",63,FALSE,2,"Substitute","Louis Saha for Stéphane Sessègnon","0:0",NA
"2","Premier League","Premier League (Matchweek 1)","Arsenal","4-2-3-1",0,NA,"","0","0","Sunderland","4-5-1",0,NA,"","0","0","https://fbref.com/en/matches/00377122/Arsenal-Sunderland-August-18-2012-Premier-League","Arsenal","Home",64,FALSE,2,"Substitute","Olivier Giroud for Lukas Podolski","0:0",NA
"3","Premier League","Premier League (Matchweek 1)","Arsenal","4-2-3-1",0,NA,"","0","0","Sunderland","4-5-1",0,NA,"","0","0","https://fbref.com/en/matches/00377122/Arsenal-Sunderland-August-18-2012-Premier-League","Sunderland","Away",68,FALSE,2,"Substitute","Ahmed Elmohamady for Fraizer Campbell","0:0",NA
"4","Premier League","Premier League (Matchweek 1)","Arsenal","4-2-3-1",0,NA,"","0","0","Sunderland","4-5-1",0,NA,"","0","0","https://fbref.com/en/matches/00377122/Arsenal-Sunderland-August-18-2012-Premier-League","Arsenal","Home",69,FALSE,2,"Substitute","Aaron Ramsey for Abou Diaby","0:0",NA
"5","Premier League","Premier League (Matchweek 1)","Arsenal","4-2-3-1",0,NA,"","0","0","Sunderland","4-5-1",0,NA,"","0","0","https://fbref.com/en/matches/00377122/Arsenal-Sunderland-August-18-2012-Premier-League","Arsenal","Home",77,FALSE,2,"Substitute","Andrey Arshavin for Theo Walcott","0:0",NA
"6","Premier League","Premier League (Matchweek 1)","Arsenal","4-2-3-1",0,NA,"","0","0","Sunderland","4-5-1",0,NA,"","0","0","https://fbref.com/en/matches/00377122/Arsenal-Sunderland-August-18-2012-Premier-League","Sunderland","Away",78,FALSE,2,"Substitute","David Meyler for Seb Larsson","0:0",NA
"7","Premier League","Premier League (Matchweek 1)","West Bromwich Albion","4-2-3-1",3,NA,"Zoltán Gera · 43&rsquor; Peter Odemwingie (P) · 64&rsquor; Romelu Lukaku · 77&rsquor;","1","0","Liverpool","4-2-3-1",0,NA,"Daniel Agger · 58&rsquor;","3","1","https://fbref.com/en/matches/14bddc92/West-Bromwich-Albion-Liverpool-August-18-2012-Premier-League","West Bromwich Albion","Home",43,FALSE,1,"Goal","Zoltán Gera","1:0",NA
"8","Premier League","Premier League (Matchweek 1)","West Bromwich Albion","4-2-3-1",3,NA,"Zoltán Gera · 43&rsquor; Peter Odemwingie (P) · 64&rsquor; Romelu Lukaku · 77&rsquor;","1","0","Liverpool","4-2-3-1",0,NA,"Daniel Agger · 58&rsquor;","3","1","https://fbref.com/en/matches/14bddc92/West-Bromwich-Albion-Liverpool-August-18-2012-Premier-League","Liverpool","Away",58,FALSE,2,"Red Card","Daniel Agger","1:0",NA
"9","Premier League","Premier League (Matchweek 1)","West Bromwich Albion","4-2-3-1",3,NA,"Zoltán Gera · 43&rsquor; Peter Odemwingie (P) · 64&rsquor; Romelu Lukaku · 77&rsquor;","1","0","Liverpool","4-2-3-1",0,NA,"Daniel Agger · 58&rsquor;","3","1","https://fbref.com/en/matches/14bddc92/West-Bromwich-Albion-Liverpool-August-18-2012-Premier-League","Liverpool","Away",60,FALSE,2,"Substitute","Jamie Carragher for Stewart Downing","1:0",NA
"10","Premier League","Premier League (Matchweek 1)","West Bromwich Albion","4-2-3-1",3,NA,"Zoltán Gera · 43&rsquor; Peter Odemwingie (P) · 64&rsquor; Romelu Lukaku · 77&rsquor;","1","0","Liverpool","4-2-3-1",0,NA,"Daniel Agger · 58&rsquor;","3","1","https://fbref.com/en/matches/14bddc92/West-Bromwich-Albion-Liverpool-August-18-2012-Premier-League","West Bromwich Albion","Home",64,FALSE,2,"Penalty","Peter Odemwingie Penalty Kick","2:0",NA
"11","Premier League","Premier League (Matchweek 1)","West Bromwich Albion","4-2-3-1",3,NA,"Zoltán Gera · 43&rsquor; Peter Odemwingie (P) · 64&rsquor; Romelu Lukaku · 77&rsquor;","1","0","Liverpool","4-2-3-1",0,NA,"Daniel Agger · 58&rsquor;","3","1","https://fbref.com/en/matches/14bddc92/West-Bromwich-Albion-Liverpool-August-18-2012-Premier-League","West Bromwich Albion","Home",68,FALSE,2,"Substitute","Marc-Antoine Fortuné for Shane Long","2:0",NA
"12","Premier League","Premier League (Matchweek 1)","West Bromwich Albion","4-2-3-1",3,NA,"Zoltán Gera · 43&rsquor; Peter Odemwingie (P) · 64&rsquor; Romelu Lukaku · 77&rsquor;","1","0","Liverpool","4-2-3-1",0,NA,"Daniel Agger · 58&rsquor;","3","1","https://fbref.com/en/matches/14bddc92/West-Bromwich-Albion-Liverpool-August-18-2012-Premier-League","West Bromwich Albion","Home",68,FALSE,2,"Substitute","Romelu Lukaku for Zoltán Gera","2:0",NA
