"","League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Event_Time","Is_Pens","Event_Half","Event_Type","Event_Players","Score_Progression","Penalty_Number"
"1","Premier League","2015-08-08","Premier League (Matchweek 1)","Manchester United","4-2-3-1",1,NA,"Kyle Walker (OG) · 22&rsquor;","2","0","Tottenham Hotspur","4-2-3-1",0,NA,"","3","0","https://fbref.com/en/matches/86cdfeba/Manchester-United-Tottenham-Hotspur-August-8-2015-Premier-League","Manchester United","Home",22,FALSE,1,"Own Goal","Kyle Walker Own Goal —","1:0",NA
"2","Premier League","2015-08-08","Premier League (Matchweek 1)","Manchester United","4-2-3-1",1,NA,"Kyle Walker (OG) · 22&rsquor;","2","0","Tottenham Hotspur","4-2-3-1",0,NA,"","3","0","https://fbref.com/en/matches/86cdfeba/Manchester-United-Tottenham-Hotspur-August-8-2015-Premier-League","Tottenham Hotspur","Away",27,FALSE,1,"Yellow Card","Jan Vertonghen","1:0",NA
"3","Premier League","2015-08-08","Premier League (Matchweek 1)","Manchester United","4-2-3-1",1,NA,"Kyle Walker (OG) · 22&rsquor;","2","0","Tottenham Hotspur","4-2-3-1",0,NA,"","3","0","https://fbref.com/en/matches/86cdfeba/Manchester-United-Tottenham-Hotspur-August-8-2015-Premier-League","Tottenham Hotspur","Away",53,FALSE,2,"Substitute","Ryan Mason for Nabil Bentaleb","1:0",NA
"4","Premier League","2015-08-08","Premier League (Matchweek 1)","Manchester United","4-2-3-1",1,NA,"Kyle Walker (OG) · 22&rsquor;","2","0","Tottenham Hotspur","4-2-3-1",0,NA,"","3","0","https://fbref.com/en/matches/86cdfeba/Manchester-United-Tottenham-Hotspur-August-8-2015-Premier-League","Manchester United","Home",60,FALSE,2,"Substitute","Bastian Schweinsteiger for Michael Carrick","1:0",NA
"5","Premier League","2015-08-08","Premier League (Matchweek 1)","Manchester United","4-2-3-1",1,NA,"Kyle Walker (OG) · 22&rsquor;","2","0","Tottenham Hotspur","4-2-3-1",0,NA,"","3","0","https://fbref.com/en/matches/86cdfeba/Manchester-United-Tottenham-Hotspur-August-8-2015-Premier-League","Manchester United","Home",68,FALSE,2,"Substitute","Ander Herrera for Memphis Depay","1:0",NA
"6","Premier League","2015-08-08","Premier League (Matchweek 1)","Manchester United","4-2-3-1",1,NA,"Kyle Walker (OG) · 22&rsquor;","2","0","Tottenham Hotspur","4-2-3-1",0,NA,"","3","0","https://fbref.com/en/matches/86cdfeba/Manchester-United-Tottenham-Hotspur-August-8-2015-Premier-League","Manchester United","Home",69,FALSE,2,"Yellow Card","Bastian Schweinsteiger","1:0",NA
"7","Premier League","2015-08-08","Premier League (Matchweek 1)","Manchester United","4-2-3-1",1,NA,"Kyle Walker (OG) · 22&rsquor;","2","0","Tottenham Hotspur","4-2-3-1",0,NA,"","3","0","https://fbref.com/en/matches/86cdfeba/Manchester-United-Tottenham-Hotspur-August-8-2015-Premier-League","Tottenham Hotspur","Away",69,FALSE,2,"Substitute","Érik Lamela for Mousa Dembélé","1:0",NA
"8","Premier League","2015-08-08","Premier League (Matchweek 1)","Manchester United","4-2-3-1",1,NA,"Kyle Walker (OG) · 22&rsquor;","2","0","Tottenham Hotspur","4-2-3-1",0,NA,"","3","0","https://fbref.com/en/matches/86cdfeba/Manchester-United-Tottenham-Hotspur-August-8-2015-Premier-League","Tottenham Hotspur","Away",76,FALSE,2,"Yellow Card","Eric Dier","1:0",NA
"9","Premier League","2015-08-08","Premier League (Matchweek 1)","Manchester United","4-2-3-1",1,NA,"Kyle Walker (OG) · 22&rsquor;","2","0","Tottenham Hotspur","4-2-3-1",0,NA,"","3","0","https://fbref.com/en/matches/86cdfeba/Manchester-United-Tottenham-Hotspur-August-8-2015-Premier-League","Tottenham Hotspur","Away",77,FALSE,2,"Substitute","Dele Alli for Eric Dier","1:0",NA
"10","Premier League","2015-08-08","Premier League (Matchweek 1)","Manchester United","4-2-3-1",1,NA,"Kyle Walker (OG) · 22&rsquor;","2","0","Tottenham Hotspur","4-2-3-1",0,NA,"","3","0","https://fbref.com/en/matches/86cdfeba/Manchester-United-Tottenham-Hotspur-August-8-2015-Premier-League","Manchester United","Home",81,FALSE,2,"Substitute","Antonio Valencia for Matteo Darmian","1:0",NA
