"","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","SCA_SCA","SCA90_SCA","PassLive_SCA","PassDead_SCA","Drib_SCA","Sh_SCA","Fld_SCA","Def_SCA","GCA_GCA","GCA90_GCA","PassLive_GCA","PassDead_GCA","Drib_GCA","Sh_GCA","Fld_GCA","Def_GCA","Url"
"1",2018,"Alavés","La Liga","Martin Agirregabiria","ESP","DF","21",1996,20.3,21,1.03,16,4,1,0,0,0,4,0.2,4,0,0,0,0,0,"https://fbref.com/en/players/355c883a/Martin-Agirregabiria"
"2",2018,"Alavés","La Liga","Alexis","ESP","DF","31",1985,24.3,12,0.49,11,1,0,0,0,0,1,0.04,1,0,0,0,0,0,"https://fbref.com/en/players/db0cd1ae/Alexis"
"3",2018,"Alavés","La Liga","Burgui","ESP","MF,FW","23",1993,11.5,42,3.66,32,0,3,2,4,1,4,0.35,3,0,1,0,0,0,"https://fbref.com/en/players/45e304c8/Burgui"
"4",2018,"Alavés","La Liga","Ermedin Demirović","BIH","FW","19",1998,2,3,1.48,2,0,0,1,0,0,1,0.49,1,0,0,0,0,0,"https://fbref.com/en/players/ed79b7d3/Ermedin-Demirovic"
"5",2018,"Alavés","La Liga","Adrián Diéguez","ESP","DF","21",1996,4.8,1,0.21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/70438d35/Adrian-Dieguez"
"6",2018,"Alavés","La Liga","Rubén Duarte","ESP","DF","21",1995,23.8,35,1.47,28,1,0,1,5,0,3,0.13,1,0,0,0,2,0,"https://fbref.com/en/players/1fe0492d/Ruben-Duarte"
"7",2018,"Alavés","La Liga","Rodrigo Ely","BRA","DF","23",1993,29.9,14,0.47,13,0,0,0,0,1,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/fd47b4f2/Rodrigo-Ely"
"8",2018,"Alavés","La Liga","Enzo Fernández","ESP","MF","22",1995,0.8,2,2.54,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/4cafb146/Enzo-Fernandez"
"9",2018,"Alavés","La Liga","Manu García","ESP","MF","31",1986,27.1,41,1.51,29,0,5,1,6,0,2,0.07,2,0,0,0,0,0,"https://fbref.com/en/players/05a4465d/Manu-Garcia"
"10",2018,"Alavés","La Liga","Ibai Gómez","ESP","MF,FW","27",1989,25.8,70,2.72,33,24,7,3,2,1,10,0.39,8,1,0,1,0,0,"https://fbref.com/en/players/9d2a3d5f/Ibai-Gomez"
