"","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url"
"1",2010,"Almería","La Liga","Diego Alves","BRA","GK","24",1985,37,37,3302,36.7,52,1.42,216,164,75.9,10,12,15,9,24.3,NA,NA,NA,NA,NA,"https://fbref.com/en/players/12421a7c/Diego-Alves"
"2",2010,"Almería","La Liga","Esteban","ESP","GK","34",1975,2,1,118,1.3,3,2.29,9,6,66.7,0,0,1,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/e4fc2638/Esteban"
"3",2010,"Arsenal","Premier League","Manuel Almunia","ESP","GK","32",1977,29,29,2610,29,31,1.07,92,61,66.3,18,4,7,10,34.5,NA,NA,NA,NA,NA,"https://fbref.com/en/players/9f6b2f8c/Manuel-Almunia"
"4",2010,"Arsenal","Premier League","Łukasz Fabiański","POL","GK","24",1985,4,4,360,4,5,1.25,14,9,64.3,1,1,2,2,50,NA,NA,NA,NA,NA,"https://fbref.com/en/players/9328b835/Lukasz-Fabianski"
"5",2010,"Arsenal","Premier League","Vito Mannone","ITA","GK","21",1988,5,5,450,5,5,1,23,18,78.3,4,1,0,2,40,NA,NA,NA,NA,NA,"https://fbref.com/en/players/c4173f1a/Vito-Mannone"
"6",2010,"Aston Villa","Premier League","Brad Friedel","USA","GK","38",1971,38,38,3420,38,39,1.03,186,147,79,17,13,8,15,39.5,NA,NA,NA,NA,NA,"https://fbref.com/en/players/b8c0a975/Brad-Friedel"
"7",2010,"Atalanta","Serie A","Andrea Consigli","ITA","GK","22",1987,31,31,2746,30.5,41,1.34,125,84,67.2,7,6,17,7,22.6,NA,NA,NA,NA,NA,"https://fbref.com/en/players/8cabdc1e/Andrea-Consigli"
"8",2010,"Atalanta","Serie A","Ferdinando Coppola","ITA","GK","31",1978,8,7,674,7.5,12,1.6,33,21,63.6,2,2,4,1,14.3,NA,NA,NA,NA,NA,"https://fbref.com/en/players/7feaf90b/Ferdinando-Coppola"
"9",2010,"Athletic Club","La Liga","Armando","ESP","GK","38",1971,1,1,90,1,0,0,6,6,100,1,0,0,1,100,NA,NA,NA,NA,NA,"https://fbref.com/en/players/af8f7643/Armando"
"10",2010,"Athletic Club","La Liga","Gorka Iraizoz","ESP","GK","28",1981,37,37,3330,37,53,1.43,195,142,72.8,14,9,14,11,29.7,NA,NA,NA,NA,NA,"https://fbref.com/en/players/26f2473f/Gorka-Iraizoz"
"11",2010,"Atlético Madrid","La Liga","Sergio Asenjo","ESP","GK","20",1989,15,15,1272,14.1,20,1.42,74,54,73,5,2,7,3,20,NA,NA,NA,NA,NA,"https://fbref.com/en/players/9f0ea33f/Sergio-Asenjo"
"12",2010,"Atlético Madrid","La Liga","David de Gea","ESP","GK","18",1990,19,19,1710,19,28,1.47,82,54,65.9,8,3,8,3,15.8,NA,NA,NA,NA,NA,"https://fbref.com/en/players/7ba6d84e/David-de-Gea"
"13",2010,"Atlético Madrid","La Liga","Roberto","ESP","GK","23",1986,3,3,270,3,9,3,22,13,59.1,0,2,1,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/ba3ca78f/Roberto"
"14",2010,"Atlético Madrid","La Liga","Joel Robles","ESP","GK","19",1990,2,1,168,1.9,4,2.14,9,5,55.6,0,1,1,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/cda0b317/Joel-Robles"
