"","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Press_Pass","Sw_Pass","Crs_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Ground_Height","Low_Height","High_Height","Left_Body","Right_Body","Head_Body","TI_Body","Other_Body","Cmp_Outcomes","Off_Outcomes","Out_Outcomes","Int_Outcomes","Blocks_Outcomes","Url","TI_Pass"
"1",2018,"Alavés","La Liga","Martin Agirregabiria","ESP","DF","21",1996,20.3,875,703,172,4,1,151,11,32,0,0,0,0,438,205,232,48,573,75,168,5,603,0,35,38,52,"https://fbref.com/en/players/355c883a/Martin-Agirregabiria",NA
"2",2018,"Alavés","La Liga","Alexis","ESP","DF","31",1985,24.3,736,596,140,55,0,87,14,5,0,0,0,0,389,82,265,100,455,77,85,4,543,7,26,10,6,"https://fbref.com/en/players/db0cd1ae/Alexis",NA
"3",2018,"Alavés","La Liga","Burgui","ESP","MF,FW","23",1993,11.5,353,336,17,4,2,64,8,19,2,0,0,0,281,33,39,38,288,17,9,0,266,1,7,20,18,"https://fbref.com/en/players/45e304c8/Burgui",NA
"4",2018,"Alavés","La Liga","Ermedin Demirović","BIH","FW","19",1998,2,31,31,0,0,0,8,1,1,0,0,0,0,17,3,11,3,19,6,0,1,20,0,1,1,3,"https://fbref.com/en/players/ed79b7d3/Ermedin-Demirovic",NA
"5",2018,"Alavés","La Liga","Adrián Diéguez","ESP","DF","21",1996,4.8,176,143,33,8,0,22,6,1,2,0,1,0,108,8,60,119,21,10,23,1,133,1,7,2,5,"https://fbref.com/en/players/70438d35/Adrian-Dieguez",NA
"6",2018,"Alavés","La Liga","Rubén Duarte","ESP","DF","21",1995,23.8,956,731,225,8,1,149,19,37,1,0,0,0,391,185,380,537,91,85,215,2,671,14,21,17,22,"https://fbref.com/en/players/1fe0492d/Ruben-Duarte",NA
"7",2018,"Alavés","La Liga","Rodrigo Ely","BRA","DF","23",1993,29.9,1027,966,61,57,1,164,52,1,0,0,0,0,547,117,363,138,689,131,4,6,729,6,42,23,8,"https://fbref.com/en/players/fd47b4f2/Rodrigo-Ely",NA
"8",2018,"Alavés","La Liga","Enzo Fernández","ESP","MF","22",1995,0.8,31,31,0,0,0,3,0,0,0,0,0,0,26,2,3,1,28,2,0,0,17,0,2,1,2,"https://fbref.com/en/players/4cafb146/Enzo-Fernandez",NA
"9",2018,"Alavés","La Liga","Manu García","ESP","MF","31",1986,27.1,1002,982,20,7,1,224,30,10,0,0,0,0,634,119,249,569,270,108,11,2,727,7,33,25,29,"https://fbref.com/en/players/05a4465d/Manu-Garcia",NA
"10",2018,"Alavés","La Liga","Ibai Gómez","ESP","MF,FW","27",1989,25.8,934,767,167,68,7,169,50,64,69,13,9,1,513,111,310,100,776,34,15,4,616,8,22,45,27,"https://fbref.com/en/players/9d2a3d5f/Ibai-Gomez",NA
"11",2018,"Alavés","La Liga","John Guidetti","SWE","FW","25",1992,13.6,345,342,3,0,0,90,7,13,1,0,0,0,200,67,78,56,213,50,1,15,227,4,8,13,14,"https://fbref.com/en/players/99bebd12/John-Guidetti",NA
"12",2018,"Alavés","La Liga","Munir El Haddadi","MAR","FW","21",1995,27.2,714,610,104,35,4,159,35,45,32,6,9,0,434,100,180,550,73,53,5,9,466,5,19,32,40,"https://fbref.com/en/players/8696bc90/Munir-El-Haddadi",NA
"13",2018,"Alavés","La Liga","Héctor Hernández","ESP","DF","26",1991,0.2,4,3,1,0,0,1,0,0,0,0,0,0,1,2,1,3,0,0,1,0,3,0,1,0,0,"https://fbref.com/en/players/76ee80ee/Hector-Hernandez",NA
"14",2018,"Alavés","La Liga","Aleksandar Katai","SRB","FW,MF","26",1991,0.6,12,12,0,0,0,2,0,0,0,0,0,0,11,1,0,7,5,0,0,0,10,1,0,0,0,"https://fbref.com/en/players/d5127c3f/Aleksandar-Katai",NA
"15",2018,"Alavés","La Liga","Bojan Krkić","ESP","FW,MF","26",1990,4.9,137,133,4,0,0,31,3,5,0,0,0,0,114,7,16,11,117,5,0,2,111,1,1,4,3,"https://fbref.com/en/players/9fa0a0b8/Bojan-Krkic",NA
"16",2018,"Alavés","La Liga","Víctor Laguardia","ESP","DF","27",1989,17,578,538,40,40,0,96,24,1,0,0,0,0,270,66,242,36,453,74,0,2,388,0,28,12,5,"https://fbref.com/en/players/b7c99b9b/Victor-Laguardia",NA
"17",2018,"Alavés","La Liga","Víctor López","ESP","MF,FW","20",1997,0.7,18,16,2,0,0,4,1,1,1,0,0,0,8,4,6,1,13,4,0,0,10,0,0,0,2,"https://fbref.com/en/players/a68856b5/Victor-Lopez",NA
"18",2018,"Alavés","La Liga","Guillermo Maripán","CHI","DF","23",1994,17,456,442,14,14,0,66,10,0,0,0,0,0,308,30,118,47,356,37,0,3,342,2,15,12,4,"https://fbref.com/en/players/d9764034/Guillermo-Maripan",NA
"19",2018,"Alavés","La Liga","Álvaro Medrán","ESP","MF,FW","23",1994,10.5,465,438,27,19,2,82,21,5,4,1,0,0,328,50,87,137,304,16,1,1,361,7,6,22,15,"https://fbref.com/en/players/31223bcf/Alvaro-Medran",NA
"20",2018,"Alavés","La Liga","Fernando Pacheco","ESP","GK","25",1992,37.3,871,498,373,97,0,64,15,0,0,0,0,0,194,20,657,617,101,0,0,83,480,3,21,5,2,"https://fbref.com/en/players/97852360/Fernando-Pacheco",NA
"21",2018,"Alavés","La Liga","Alfonso Pedraza","ESP","MF,DF","21",1996,27.1,739,689,50,6,1,187,21,61,3,2,0,0,461,111,167,557,75,43,41,5,466,2,19,21,75,"https://fbref.com/en/players/63f04c6c/Alfonso-Pedraza",NA
"22",2018,"Alavés","La Liga","Hernán Pérez","PAR","MF,FW","28",1989,4.2,147,137,10,0,0,38,7,8,7,0,0,0,82,24,41,17,115,10,1,1,96,1,1,8,10,"https://fbref.com/en/players/e1cea3f7/Hernan-Perez",NA
"23",2018,"Alavés","La Liga","Tomás Pina Isla","ESP","MF","29",1987,26.5,999,984,15,13,0,223,28,6,0,0,0,0,697,89,213,391,483,86,1,6,788,4,23,21,16,"https://fbref.com/en/players/e54bd0a2/Tomas-Pina-Isla",NA
"24",2018,"Alavés","La Liga","Óscar Romero","PAR","MF,FW","25",1992,2.8,79,66,13,10,0,19,8,3,2,1,1,0,34,9,36,52,13,6,1,0,47,0,3,2,3,"https://fbref.com/en/players/4bc5f2b4/Oscar-Romero",NA
"25",2018,"Alavés","La Liga","Christian Santos","VEN","FW","29",1988,4.8,135,134,1,0,0,50,1,3,0,0,0,0,57,40,38,51,24,15,0,10,89,1,3,8,1,"https://fbref.com/en/players/4efd29bb/Christian-Santos",NA
"26",2018,"Alavés","La Liga","Antonio Sivera","ESP","GK","20",1996,0.7,12,8,4,0,0,1,0,0,0,0,0,0,7,0,5,0,10,0,0,2,7,0,0,0,0,"https://fbref.com/en/players/9970da54/Antonio-Sivera",NA
"27",2018,"Alavés","La Liga","Rubén Sobrino","ESP","FW,MF","25",1992,16.3,418,406,12,0,0,116,4,16,1,0,0,0,278,61,79,50,280,43,1,19,299,4,12,10,21,"https://fbref.com/en/players/19b776e9/Ruben-Sobrino",NA
"28",2018,"Alavés","La Liga","Daniel Torres","COL","MF","27",1989,13.5,509,496,13,10,0,101,15,1,0,0,0,0,348,59,102,63,400,34,0,6,414,5,7,11,8,"https://fbref.com/en/players/87882adc/Daniel-Torres",NA
"29",2018,"Alavés","La Liga","Carlos Vigaray","ESP","DF","22",1994,9.9,362,261,101,6,0,51,7,9,3,1,2,0,174,82,106,15,224,15,92,2,245,0,16,17,13,"https://fbref.com/en/players/f69d934e/Carlos-Vigaray",NA
"30",2018,"Alavés","La Liga","Wakaso","GHA","MF","27",1990,12.2,486,443,43,12,1,71,30,25,5,0,2,0,282,46,158,382,18,39,26,4,335,8,20,14,8,"https://fbref.com/en/players/999908af/Wakaso",NA
"31",2018,"Amiens","Ligue 1","Khaled Adénon","BEN","DF","32",1985,32.5,1168,1124,44,43,1,141,28,1,0,0,0,0,817,94,257,220,792,137,1,3,958,3,35,14,16,"https://fbref.com/en/players/16714a62/Khaled-Adenon",NA
"32",2018,"Amiens","Ligue 1","Danilo Avelar","BRA","DF,FW","28",1989,19.2,840,696,144,15,0,123,17,58,0,0,0,0,394,68,378,545,50,90,129,3,535,4,20,11,22,"https://fbref.com/en/players/eacb45fd/Danilo-Avelar",NA
"33",2018,"Amiens","Ligue 1","Sekou Baradji","FRA","MF","33",1984,0.1,5,5,0,0,0,1,0,0,0,0,0,0,3,1,1,4,0,1,0,0,2,0,0,1,1,"https://fbref.com/en/players/5693aa98/Sekou-Baradji",NA
"34",2018,"Amiens","Ligue 1","Mathieu Bodmer","FRA","DF,MF","34",1982,4.4,275,265,10,10,0,25,9,1,0,0,0,0,193,20,62,40,211,22,0,0,216,2,9,4,8,"https://fbref.com/en/players/f3642ba8/Mathieu-Bodmer",NA
"35",2018,"Amiens","Ligue 1","Jean-Christophe Bouet","FRA","GK","34",1983,1,20,10,10,2,0,0,0,0,0,0,0,0,3,1,16,0,16,0,0,2,7,0,1,0,0,"https://fbref.com/en/players/96908f80/Jean-Christophe-Bouet",NA
"36",2018,"Amiens","Ligue 1","Emmanuel Bourgaud","FRA","MF,FW","29",1987,6,294,259,35,9,2,65,16,12,21,0,0,0,166,28,100,19,244,19,4,4,194,1,9,8,12,"https://fbref.com/en/players/7cf9f0ed/Emmanuel-Bourgaud",NA
"37",2018,"Amiens","Ligue 1","Charly Charrier","FRA","MF,FW","31",1986,1.2,71,70,1,1,0,4,2,2,0,0,0,0,51,8,12,22,47,2,0,0,53,0,1,0,1,"https://fbref.com/en/players/346c15cc/Charly-Charrier",NA
"38",2018,"Amiens","Ligue 1","Issa Cissokho","SEN","DF","32",1985,18.1,801,648,153,21,0,87,22,24,0,0,0,0,432,107,262,109,497,55,132,3,592,3,34,20,14,"https://fbref.com/en/players/a1017967/Issa-Cissokho",NA
"39",2018,"Amiens","Ligue 1","Quentin Cornette","FRA","FW,MF","23",1994,5,138,134,4,0,1,31,1,5,3,0,0,0,103,12,23,13,117,6,1,1,96,3,3,6,6,"https://fbref.com/en/players/5d42d487/Quentin-Cornette",NA
"40",2018,"Amiens","Ligue 1","Bakaye Dibassy","MLI","DF","27",1989,30.9,1303,1111,192,26,0,216,17,28,0,0,0,0,788,144,371,877,165,71,166,3,986,9,61,28,41,"https://fbref.com/en/players/247accfd/Bakaye-Dibassy",NA
"41",2018,"Amiens","Ligue 1","Jean-Luc Dompé","FRA","MF","21",1995,0.3,18,14,4,0,0,0,2,0,3,0,0,0,11,1,6,0,17,0,1,0,8,0,0,1,1,"https://fbref.com/en/players/9ffdf29a/Jean-Luc-Dompe",NA
"42",2018,"Amiens","Ligue 1","Guessouma Fofana","MTN","MF","24",1992,8.3,247,245,2,1,0,28,8,7,0,0,0,0,167,21,59,24,194,21,0,0,178,2,5,8,4,"https://fbref.com/en/players/9dafff2a/Guessouma-Fofana",NA
"43",2018,"Amiens","Ligue 1","Serge Gakpé","TOG","FW,MF","30",1987,20.3,506,497,9,1,2,135,5,20,2,0,0,0,354,61,91,91,357,44,6,2,347,1,17,26,26,"https://fbref.com/en/players/cf4053e2/Serge-Gakpe",NA
"44",2018,"Amiens","Ligue 1","Georges Gope-Fenepej","NCL","MF,FW","28",1988,0.5,21,21,0,0,0,2,1,0,0,0,0,0,17,2,2,2,18,1,0,0,13,0,0,3,1,"https://fbref.com/en/players/8730ed6a/Georges-Gope-Fenepej",NA
"45",2018,"Amiens","Ligue 1","Prince-Désir Gouano","FRA","DF","23",1993,30.5,1086,1060,26,26,0,164,15,2,0,0,0,0,737,70,279,91,834,124,0,4,853,4,20,11,13,"https://fbref.com/en/players/7c6d6c96/Prince-Desir-Gouano",NA
"46",2018,"Amiens","Ligue 1","Régis Gurtner","FRA","GK","30",1986,37,1008,606,402,133,0,109,23,0,0,0,0,0,225,26,757,24,801,0,0,72,507,1,32,5,8,"https://fbref.com/en/players/bc270726/Regis-Gurtner",NA
"47",2018,"Amiens","Ligue 1","Oualid El Hajjam","MAR","DF","26",1991,24.4,1046,810,236,8,0,159,19,39,1,0,0,0,512,144,390,137,602,69,227,4,725,6,36,26,30,"https://fbref.com/en/players/9f29c204/Oualid-El-Hajjam",NA
"48",2018,"Amiens","Ligue 1","Julien Ielsch","FRA","MF,DF","34",1983,6.8,236,224,12,3,0,40,1,4,0,0,0,0,134,33,69,148,47,28,9,3,159,0,6,5,8,"https://fbref.com/en/players/20c2c0e8/Julien-Ielsch",NA
"49",2018,"Amiens","Ligue 1","Gaël Kakuta","COD","MF,FW","26",1991,34.3,1378,1225,153,61,7,227,49,89,76,0,0,0,862,143,373,1076,196,69,10,6,889,11,46,62,62,"https://fbref.com/en/players/5b1bf5e3/Gael-Kakuta",NA
"50",2018,"Amiens","Ligue 1","Seybou Koita","NIG","FW,MF","23",1994,2.4,57,55,2,0,0,3,1,2,0,0,0,0,39,8,10,7,44,2,0,3,39,0,2,2,3,"https://fbref.com/en/players/d3b58e33/Seybou-Koita",NA
"51",2018,"Amiens","Ligue 1","Moussa Konaté","SEN","FW","24",1993,27.5,513,477,36,2,0,143,12,20,0,0,0,0,312,93,108,102,293,72,2,21,345,0,29,15,26,"https://fbref.com/en/players/fcbcbd94/Moussa-Konate",NA
"52",2018,"Amiens","Ligue 1","Brighton Labeau","MTQ","FW","21",1996,0.3,3,2,1,0,0,1,0,0,0,0,0,0,3,0,0,2,1,0,0,0,3,0,0,0,0,"https://fbref.com/en/players/f45cf4f7/Brighton-Labeau",NA
"53",2018,"Amiens","Ligue 1","Harrison Manzala","COD","FW,MF","23",1994,20.7,665,651,14,2,2,131,12,41,0,0,0,0,511,39,115,78,527,47,10,0,477,3,16,18,31,"https://fbref.com/en/players/392d98fc/Harrison-Manzala",NA
"54",2018,"Amiens","Ligue 1","Stiven Mendoza","COL","FW,MF","25",1992,11.5,366,334,32,5,1,85,10,16,21,0,0,0,265,39,62,325,20,15,2,2,256,0,8,6,23,"https://fbref.com/en/players/e68f2cb4/Stiven-Mendoza",NA
"55",2018,"Amiens","Ligue 1","Thomas Monconduit","FRA","MF","26",1991,32.8,1440,1406,34,26,3,280,40,11,0,0,0,0,1044,102,294,248,1051,118,1,1,1128,3,36,49,22,"https://fbref.com/en/players/84d94b91/Thomas-Monconduit",NA
