"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Vs","Att_Vs","Tkl_percent_Vs","Past_Vs","Press_Pressures","Succ_Pressures","_percent_Pressures","Def 3rd_Pressures","Mid 3rd_Pressures","Att 3rd_Pressures","Blocks_Blocks","Sh_Blocks","ShSv_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err","Url"
"1",2018,"Alavés","La Liga","team",30,38,645,410,353,224,68,206,622,33.1,416,6255,1547,24.7,2197,2904,1154,605,146,1,459,466,1111,759,8,"https://fbref.com/en/squads/8d6fd021/2017-2018/Alaves-Stats"
"2",2018,"Alavés","La Liga","opponent",30,38,560,354,270,214,76,187,592,31.6,405,5122,1648,32.2,1600,2417,1105,501,91,2,410,409,969,535,7,"https://fbref.com/en/squads/8d6fd021/2017-2018/Alaves-Stats"
"3",2018,"Amiens","Ligue 1","team",30,38,606,369,339,203,64,168,529,31.8,361,4874,1347,27.6,1849,2140,885,650,174,4,476,502,1108,765,12,"https://fbref.com/en/squads/25622401/2017-2018/Amiens-Stats"
"4",2018,"Amiens","Ligue 1","opponent",30,38,604,386,283,248,73,167,517,32.3,350,4349,1458,33.5,1268,1970,1111,506,93,4,413,394,998,517,11,"https://fbref.com/en/squads/25622401/2017-2018/Amiens-Stats"
"5",2018,"Angers","Ligue 1","team",27,38,571,357,320,194,57,167,623,26.8,456,5172,1333,25.8,1699,2510,963,566,81,2,485,402,973,550,11,"https://fbref.com/en/squads/69236f98/2017-2018/Angers-Stats"
"6",2018,"Angers","Ligue 1","opponent",27,38,620,371,324,225,71,198,540,36.7,342,4788,1464,30.6,1639,2174,975,586,115,2,471,440,1060,518,10,"https://fbref.com/en/squads/69236f98/2017-2018/Angers-Stats"
"7",2018,"Arsenal","Premier League","team",30,38,690,436,326,268,96,262,667,39.3,405,5449,1753,32.2,1784,2395,1270,509,117,3,392,484,1174,939,12,"https://fbref.com/en/squads/18bb7c10/2017-2018/Arsenal-Stats"
"8",2018,"Arsenal","Premier League","opponent",30,38,661,387,313,258,90,210,646,32.5,436,6370,1724,27.1,2465,2711,1194,649,182,4,467,766,1427,1013,5,"https://fbref.com/en/squads/18bb7c10/2017-2018/Arsenal-Stats"
"9",2018,"Atalanta","Serie A","team",25,38,762,469,354,325,83,217,702,30.9,485,6213,1985,31.9,1864,3021,1328,612,116,0,496,338,1100,883,4,"https://fbref.com/en/squads/922493f3/2017-2018/Atalanta-Stats"
"10",2018,"Atalanta","Serie A","opponent",25,38,770,484,404,289,77,217,739,29.4,522,6744,1885,28,2468,2962,1314,675,167,2,508,400,1170,867,10,"https://fbref.com/en/squads/922493f3/2017-2018/Atalanta-Stats"
