"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","CrdY","CrdR","2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial","Url"
"1",2010,"Almería","La Liga","team",24,NA,98,7,NA,624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/78ecf4bb/2009-2010/Almeria-Stats"
"2",2010,"Almería","La Liga","opponent",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/78ecf4bb/2009-2010/Almeria-Stats"
"3",2010,"Arsenal","Premier League","team",30,NA,56,1,NA,468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/18bb7c10/2009-2010/Arsenal-Stats"
"4",2010,"Arsenal","Premier League","opponent",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/18bb7c10/2009-2010/Arsenal-Stats"
"5",2010,"Aston Villa","Premier League","team",23,NA,58,2,NA,504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/8602292d/2009-2010/Aston-Villa-Stats"
"6",2010,"Aston Villa","Premier League","opponent",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/8602292d/2009-2010/Aston-Villa-Stats"
"7",2010,"Atalanta","Serie A","team",31,NA,104,8,NA,625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/922493f3/2009-2010/Atalanta-Stats"
"8",2010,"Atalanta","Serie A","opponent",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/922493f3/2009-2010/Atalanta-Stats"
"9",2010,"Athletic Club","La Liga","team",29,NA,91,10,NA,568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/2b390eca/2009-2010/Athletic-Club-Stats"
"10",2010,"Athletic Club","La Liga","opponent",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/2b390eca/2009-2010/Athletic-Club-Stats"
"11",2010,"Atlético Madrid","La Liga","team",33,NA,87,7,NA,611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/db3b9613/2009-2010/Atletico-Madrid-Stats"
