"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xA","A_minus_xA","KP","Final_Third","PPA","CrsPA","Prog","Url","xAG","A_minus_xAG"
"1",2018,"Alavés","La Liga","team",30,38,9509,13607,69.9,194777,80853,3832,4780,80.2,3923,5048,77.7,1612,3319,48.6,31,25.8,5.2,265,813,194,69,896,"https://fbref.com/en/squads/8d6fd021/2017-2018/Alaves-Stats",NA,NA
"2",2018,"Alavés","La Liga","opponent",30,38,16456,20588,79.9,330446,107444,6459,7503,86.1,7196,8419,85.5,2594,4152,62.5,28,34,-6,378,1362,368,112,1458,"https://fbref.com/en/squads/8d6fd021/2017-2018/Alaves-Stats",NA,NA
"3",2018,"Amiens","Ligue 1","team",30,38,10940,15245,71.8,215927,88753,4274,5201,82.2,4729,5947,79.5,1663,3407,48.8,24,23.5,0.5,261,860,176,54,1050,"https://fbref.com/en/squads/25622401/2017-2018/Amiens-Stats",NA,NA
"4",2018,"Amiens","Ligue 1","opponent",30,38,15463,19967,77.4,297882,106887,6319,7365,85.8,6522,7818,83.4,2281,4016,56.8,30,40.8,-10.8,464,1327,353,107,1480,"https://fbref.com/en/squads/25622401/2017-2018/Amiens-Stats",NA,NA
"5",2018,"Angers","Ligue 1","team",27,38,12407,16446,75.4,242773,93492,4953,5833,84.9,5356,6479,82.7,1877,3467,54.1,30,30.8,-0.8,343,1000,235,63,1213,"https://fbref.com/en/squads/69236f98/2017-2018/Angers-Stats",NA,NA
"6",2018,"Angers","Ligue 1","opponent",27,38,16300,20349,80.1,318513,104503,6248,7244,86.3,7417,8513,87.1,2351,3883,60.5,34,31.1,2.9,309,1419,265,78,1527,"https://fbref.com/en/squads/69236f98/2017-2018/Angers-Stats",NA,NA
"7",2018,"Arsenal","Premier League","team",30,38,20841,24882,83.8,395232,124312,8620,9665,89.2,9005,10135,88.9,2779,4171,66.6,61,51.3,7.7,433,1629,506,62,1887,"https://fbref.com/en/squads/18bb7c10/2017-2018/Arsenal-Stats",NA,NA
"8",2018,"Arsenal","Premier League","opponent",30,38,11854,15785,75.1,240543,90199,4792,5563,86.1,4878,5892,82.8,1947,3715,52.4,38,33.9,4.1,295,881,267,74,999,"https://fbref.com/en/squads/18bb7c10/2017-2018/Arsenal-Stats",NA,NA
"9",2018,"Atalanta","Serie A","team",25,38,16813,20966,80.2,337538,111390,6204,7232,85.8,7730,9016,85.7,2645,4112,64.3,38,43.6,0.4,435,1376,464,93,1700,"https://fbref.com/en/squads/922493f3/2017-2018/Atalanta-Stats",NA,NA
"10",2018,"Atalanta","Serie A","opponent",25,38,12846,17078,75.2,255143,101381,5076,6009,84.5,5554,6770,82,2010,3722,54,29,27,2,296,997,243,71,1257,"https://fbref.com/en/squads/922493f3/2017-2018/Atalanta-Stats",NA,NA
"11",2018,"Athletic Club","La Liga","team",26,38,12929,17255,74.9,277959,100048,4563,5651,80.7,5744,6953,82.6,2495,4198,59.4,25,29.8,-4.8,311,1156,313,108,1250,"https://fbref.com/en/squads/2b390eca/2017-2018/Athletic-Club-Stats",NA,NA
"12",2018,"Athletic Club","La Liga","opponent",26,38,13423,17568,76.4,270324,94408,5417,6396,84.7,5653,6843,82.6,2200,3856,57.1,33,30.3,2.7,333,972,290,94,1115,"https://fbref.com/en/squads/2b390eca/2017-2018/Athletic-Club-Stats",NA,NA
"13",2018,"Atlético Madrid","La Liga","team",26,38,14327,18372,78,265300,95225,6491,7560,85.9,5741,6855,83.7,1856,3372,55,41,33.6,7.4,299,1125,277,48,1279,"https://fbref.com/en/squads/db3b9613/2017-2018/Atletico-Madrid-Stats",NA,NA
"14",2018,"Atlético Madrid","La Liga","opponent",26,38,16259,20280,80.2,318739,103500,6512,7527,86.5,7165,8309,86.2,2381,3868,61.6,17,24.9,-7.9,326,1352,324,79,1409,"https://fbref.com/en/squads/db3b9613/2017-2018/Atletico-Madrid-Stats",NA,NA
"15",2018,"Augsburg","Bundesliga","team",27,34,10179,14251,71.4,219096,88617,3627,4483,80.9,4284,5367,79.8,2116,3888,54.4,30,31.1,-3.1,312,856,263,110,1069,"https://fbref.com/en/squads/0cdc4311/2017-2018/Augsburg-Stats",NA,NA
"16",2018,"Augsburg","Bundesliga","opponent",27,34,13340,17220,77.5,271412,101193,5060,5966,84.8,5862,7022,83.5,2241,3709,60.4,32,29.9,2.1,336,1125,289,71,1290,"https://fbref.com/en/squads/0cdc4311/2017-2018/Augsburg-Stats",NA,NA
"17",2018,"Barcelona","La Liga","team",25,38,21631,25109,86.1,396655,122195,9476,10512,90.1,9264,10287,90.1,2611,3632,71.9,74,60,14,417,1751,514,51,1850,"https://fbref.com/en/squads/206d90db/2017-2018/Barcelona-Stats",NA,NA
"18",2018,"Barcelona","La Liga","opponent",25,38,11580,15029,77.1,228187,82064,4776,5618,85,4839,5768,83.9,1784,3166,56.3,22,32.7,-10.7,330,930,243,82,954,"https://fbref.com/en/squads/206d90db/2017-2018/Barcelona-Stats",NA,NA
"19",2018,"Bayern Munich","Bundesliga","team",28,34,20441,23840,85.7,398949,119150,8197,9030,90.8,8974,10005,89.7,3042,4271,71.2,72,56.2,13.8,462,1705,462,112,1710,"https://fbref.com/en/squads/054efa67/2017-2018/Bayern-Munich-Stats",NA,NA
"20",2018,"Bayern Munich","Bundesliga","opponent",28,34,9043,12343,73.3,179563,70888,3704,4454,83.2,3849,4727,81.4,1364,2752,49.6,18,21.4,-3.4,200,631,163,50,794,"https://fbref.com/en/squads/054efa67/2017-2018/Bayern-Munich-Stats",NA,NA
"21",2018,"Benevento","Serie A","team",41,38,14168,17812,79.5,279120,92879,5628,6423,87.6,6292,7265,86.6,2098,3659,57.3,23,27.6,-2.6,339,937,213,76,1040,"https://fbref.com/en/squads/4fcb34fd/2017-2018/Benevento-Stats",NA,NA
"22",2018,"Benevento","Serie A","opponent",41,38,16154,19853,81.4,313987,105878,6505,7382,88.1,7086,8182,86.6,2349,3764,62.4,61,48.5,12.5,432,1418,406,102,1559,"https://fbref.com/en/squads/4fcb34fd/2017-2018/Benevento-Stats",NA,NA
"23",2018,"Betis","La Liga","team",29,38,17551,21171,82.9,343320,105508,6743,7688,87.7,8263,9309,88.8,2384,3738,63.8,43,32.7,10.3,312,1244,241,62,1245,"https://fbref.com/en/squads/fc536746/2017-2018/Real-Betis-Stats",NA,NA
"24",2018,"Betis","La Liga","opponent",29,38,12153,15941,76.2,238131,86127,5086,6045,84.1,4980,5986,83.2,1893,3400,55.7,45,37.5,7.5,345,989,329,111,1103,"https://fbref.com/en/squads/fc536746/2017-2018/Real-Betis-Stats",NA,NA
