"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Press_Pass","Sw_Pass","Crs_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Ground_Height","Low_Height","High_Height","Left_Body","Right_Body","Head_Body","TI_Body","Other_Body","Cmp_Outcomes","Off_Outcomes","Out_Outcomes","Int_Outcomes","Blocks_Outcomes","Url","TI_Pass"
"1",2018,"Alavés","La Liga","team",30,38,13607,11942,1665,473,21,2493,428,372,133,24,24,1,7632,1733,4242,4696,6487,1075,701,195,9509,92,399,394,412,"https://fbref.com/en/squads/8d6fd021/2017-2018/Alaves-Stats",NA
"2",2018,"Alavés","La Liga","opponent",30,38,20588,18908,1680,508,19,3240,777,582,224,31,36,8,14207,2191,4190,5935,12196,1065,695,233,16456,48,415,442,457,"https://fbref.com/en/squads/8d6fd021/2017-2018/Alaves-Stats",NA
"3",2018,"Amiens","Ligue 1","team",30,38,15245,13659,1586,412,20,2520,381,395,132,0,0,0,9323,1440,4482,4413,8432,1188,704,148,10940,60,470,371,410,"https://fbref.com/en/squads/25622401/2017-2018/Amiens-Stats",NA
"4",2018,"Amiens","Ligue 1","opponent",30,38,19967,18377,1590,380,28,2817,565,613,203,0,0,0,13452,1822,4693,5808,11569,1291,801,206,15463,64,446,462,479,"https://fbref.com/en/squads/25622401/2017-2018/Amiens-Stats",NA
"5",2018,"Angers","Ligue 1","team",27,38,16446,14843,1603,384,34,2661,424,434,164,0,0,0,10706,1324,4416,4967,9146,1088,805,225,12407,51,369,398,472,"https://fbref.com/en/squads/69236f98/2017-2018/Angers-Stats",NA
"6",2018,"Angers","Ligue 1","opponent",27,38,20349,19005,1344,327,40,2828,614,462,164,0,0,0,14727,1652,3970,5637,12535,1082,632,188,16300,61,466,376,484,"https://fbref.com/en/squads/69236f98/2017-2018/Angers-Stats",NA
"7",2018,"Arsenal","Premier League","team",30,38,24882,23132,1750,434,48,3260,679,419,225,114,59,17,18043,3345,3494,9605,12934,804,751,358,20841,84,322,728,468,"https://fbref.com/en/squads/18bb7c10/2017-2018/Arsenal-Stats",NA
"8",2018,"Arsenal","Premier League","opponent",30,38,15785,13986,1799,452,26,2635,473,458,180,76,54,18,9413,2306,4066,4278,9263,645,740,237,11854,69,319,459,391,"https://fbref.com/en/squads/18bb7c10/2017-2018/Arsenal-Stats",NA
"9",2018,"Atalanta","Serie A","team",25,38,20966,19111,1855,473,21,3404,731,489,228,59,68,19,13731,2959,4276,5773,12867,829,828,279,16813,68,441,375,510,"https://fbref.com/en/squads/922493f3/2017-2018/Atalanta-Stats",NA
"10",2018,"Atalanta","Serie A","opponent",25,38,17078,15164,1914,478,16,3094,422,374,186,56,34,13,9982,2704,4392,5108,9756,716,837,268,12846,48,379,313,494,"https://fbref.com/en/squads/922493f3/2017-2018/Atalanta-Stats",NA
"11",2018,"Athletic Club","La Liga","team",26,38,17255,15675,1580,466,11,3077,588,541,187,36,35,3,10685,2190,4380,4332,10382,1153,663,182,12929,95,409,393,505,"https://fbref.com/en/squads/2b390eca/2017-2018/Athletic-Club-Stats",NA
"12",2018,"Athletic Club","La Liga","opponent",26,38,17568,15934,1634,448,18,3472,537,445,173,20,24,3,11244,2011,4313,5116,10111,1005,698,201,13423,79,397,430,468,"https://fbref.com/en/squads/2b390eca/2017-2018/Athletic-Club-Stats",NA
"13",2018,"Atlético Madrid","La Liga","team",26,38,18372,16889,1483,415,23,3040,399,352,157,10,19,1,12512,2036,3824,5080,11116,933,638,206,14327,99,317,413,471,"https://fbref.com/en/squads/db3b9613/2017-2018/Atletico-Madrid-Stats",NA
"14",2018,"Atlético Madrid","La Liga","opponent",26,38,20280,18850,1430,415,5,3315,647,477,148,15,13,1,14183,2102,3995,6342,11707,1063,601,209,16259,19,403,405,553,"https://fbref.com/en/squads/db3b9613/2017-2018/Atletico-Madrid-Stats",NA
"15",2018,"Augsburg","Bundesliga","team",27,34,14251,12529,1722,421,13,2533,508,456,174,45,52,13,7120,2708,4423,4161,7616,958,791,252,10179,63,352,231,444,"https://fbref.com/en/squads/0cdc4311/2017-2018/Augsburg-Stats",NA
"16",2018,"Augsburg","Bundesliga","opponent",27,34,17220,15491,1729,487,14,2628,510,347,154,53,45,15,10070,3002,4148,4579,9978,1150,760,241,13340,34,334,299,405,"https://fbref.com/en/squads/0cdc4311/2017-2018/Augsburg-Stats",NA
"17",2018,"Barcelona","La Liga","team",25,38,25109,23662,1447,427,55,4370,618,388,204,27,33,7,20044,2253,2812,8148,15220,667,600,234,21631,113,260,551,522,"https://fbref.com/en/squads/206d90db/2017-2018/Barcelona-Stats",NA
"18",2018,"Barcelona","La Liga","opponent",25,38,15029,13705,1324,383,22,2924,533,394,149,24,29,0,10238,1443,3348,4346,9136,672,470,171,11580,87,351,410,423,"https://fbref.com/en/squads/206d90db/2017-2018/Barcelona-Stats",NA
"19",2018,"Bayern Munich","Bundesliga","team",28,34,23840,22367,1473,404,60,3869,770,605,220,48,61,20,16852,3235,3753,6875,14915,851,639,256,20441,60,304,287,389,"https://fbref.com/en/squads/054efa67/2017-2018/Bayern-Munich-Stats",NA
"20",2018,"Bayern Munich","Bundesliga","opponent",28,34,12343,10855,1488,386,21,2037,311,246,102,25,30,11,7076,1995,3272,3116,7342,743,553,229,9043,49,294,259,334,"https://fbref.com/en/squads/054efa67/2017-2018/Bayern-Munich-Stats",NA
"21",2018,"Benevento","Serie A","team",41,38,17812,16066,1746,490,16,2907,509,422,163,48,24,12,11931,2262,3619,6316,9705,544,665,281,14168,75,370,257,428,"https://fbref.com/en/squads/4fcb34fd/2017-2018/Benevento-Stats",NA
"22",2018,"Benevento","Serie A","opponent",41,38,19853,18117,1736,455,32,2638,568,543,200,53,24,16,13120,2809,3924,5695,12086,730,738,255,16154,97,334,290,421,"https://fbref.com/en/squads/4fcb34fd/2017-2018/Benevento-Stats",NA
"23",2018,"Betis","La Liga","team",29,38,21171,19790,1381,436,29,2758,607,385,125,18,13,0,15736,1806,3629,8306,10981,856,523,217,17551,55,412,391,408,"https://fbref.com/en/squads/fc536746/2017-2018/Real-Betis-Stats",NA
"24",2018,"Betis","La Liga","opponent",29,38,15941,14409,1532,389,27,2773,469,492,207,22,33,3,10445,1692,3804,4664,9329,763,671,146,12153,124,331,415,463,"https://fbref.com/en/squads/fc536746/2017-2018/Real-Betis-Stats",NA
"25",2018,"Bologna","Serie A","team",30,38,17603,15743,1860,496,17,2899,538,303,149,79,10,10,10643,2690,4270,4608,10553,891,787,262,13639,60,422,262,459,"https://fbref.com/en/squads/1d8099f8/2017-2018/Bologna-Stats",NA
"26",2018,"Bologna","Serie A","opponent",30,38,19917,18045,1872,455,25,2999,563,594,234,71,40,28,13032,2797,4088,5926,11809,697,874,252,15920,77,361,238,526,"https://fbref.com/en/squads/1d8099f8/2017-2018/Bologna-Stats",NA
"27",2018,"Bordeaux","Ligue 1","team",31,38,17958,16471,1487,349,47,2633,554,476,165,0,0,0,12406,1742,3810,5149,10578,1085,728,201,14055,62,363,397,451,"https://fbref.com/en/squads/123f3efe/2017-2018/Bordeaux-Stats",NA
"28",2018,"Bordeaux","Ligue 1","opponent",31,38,17554,16172,1382,367,23,3024,490,434,141,0,0,0,12159,1325,4070,5124,10339,1043,635,162,13742,46,383,405,407,"https://fbref.com/en/squads/123f3efe/2017-2018/Bordeaux-Stats",NA
"29",2018,"Bournemouth","Premier League","team",22,38,17677,15634,2043,540,25,2790,472,464,218,87,65,20,11104,2689,3884,5269,9963,791,857,319,13510,47,371,573,469,"https://fbref.com/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats",NA
"30",2018,"Bournemouth","Premier League","opponent",22,38,19504,17712,1792,371,35,2957,587,528,213,92,69,15,11950,2852,4702,5276,11603,875,852,209,15009,110,401,441,446,"https://fbref.com/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats",NA
"31",2018,"Brighton","Premier League","team",24,38,16140,14410,1730,333,11,2836,720,434,163,67,61,26,9236,2532,4372,3763,9822,806,792,261,11951,88,420,484,401,"https://fbref.com/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats",NA
"32",2018,"Brighton","Premier League","opponent",24,38,21206,19277,1929,480,29,3051,522,504,228,95,76,21,14389,2798,4019,5853,12864,802,868,275,17139,39,349,530,434,"https://fbref.com/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats",NA
"33",2018,"Burnley","Premier League","team",24,38,14955,13080,1875,475,18,2870,493,431,167,63,59,27,7591,2455,4909,4074,8094,975,825,235,10493,90,432,376,382,"https://fbref.com/en/squads/943e8050/2017-2018/Burnley-Stats",NA
"34",2018,"Burnley","Premier League","opponent",24,38,19748,17795,1953,430,26,3018,602,551,240,83,80,23,12004,3009,4735,5450,11356,1009,931,266,15212,50,374,504,465,"https://fbref.com/en/squads/943e8050/2017-2018/Burnley-Stats",NA
"35",2018,"Caen","Ligue 1","team",26,38,15797,14179,1618,396,20,2502,627,602,193,0,0,0,9265,1536,4996,3633,9466,1441,758,175,11292,67,464,392,465,"https://fbref.com/en/squads/74229020/2017-2018/Caen-Stats",NA
"36",2018,"Caen","Ligue 1","opponent",26,38,19104,17467,1637,383,25,3165,548,465,170,0,0,0,12855,1579,4670,5378,11183,1185,821,226,14692,49,442,486,525,"https://fbref.com/en/squads/74229020/2017-2018/Caen-Stats",NA
"37",2018,"Cagliari","Serie A","team",29,38,16636,14680,1956,496,13,2616,554,446,177,44,54,13,8712,2708,5216,3436,10462,1014,835,319,12167,75,394,246,431,"https://fbref.com/en/squads/c4260e09/2017-2018/Cagliari-Stats",NA
"38",2018,"Cagliari","Serie A","opponent",29,38,20443,18477,1966,599,20,2923,661,532,189,60,51,17,12557,3421,4465,5917,11918,943,846,328,16287,83,405,254,446,"https://fbref.com/en/squads/c4260e09/2017-2018/Cagliari-Stats",NA
"39",2018,"Celta Vigo","La Liga","team",23,38,20791,19312,1479,460,18,3433,589,474,145,18,18,0,14374,2334,4083,5377,13135,1075,602,180,16787,85,402,395,422,"https://fbref.com/en/squads/f25da7fb/2017-2018/Celta-Vigo-Stats",NA
