"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Age","MP_Playing.Time","Min_Playing.Time","Mn_per_MP_Playing.Time","Min_percent_Playing.Time","Mins_Per_90_Playing.Time","Starts_Starts","Mn_per_Start_Starts","Compl_Starts","Subs_Subs","Mn_per_Sub_Subs","unSub_Subs","PPM_Team.Success","onG_Team.Success","onGA_Team.Success","plus_per__minus__Team.Success","plus_per__minus_90_Team.Success","onxG_Team.Success..xG.","onxGA_Team.Success..xG","xGplus_per__minus__Team.Success..xG","xGplus_per__minus_90_Team.Success..xG","Url"
"1",2010,"Almería","La Liga","team",24,25.6,38,NA,NA,100,NA,417,NA,NA,100,0,NA,1.11,43,55,-12,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/78ecf4bb/2009-2010/Almeria-Stats"
"2",2010,"Almería","La Liga","opponent",24,26.8,38,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,1.11,55,43,12,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/78ecf4bb/2009-2010/Almeria-Stats"
"3",2010,"Arsenal","Premier League","team",30,25.3,38,NA,NA,100,NA,418,NA,NA,107,0,NA,1.97,83,41,42,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/18bb7c10/2009-2010/Arsenal-Stats"
"4",2010,"Arsenal","Premier League","opponent",30,27.1,38,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,1.97,41,83,-42,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/18bb7c10/2009-2010/Arsenal-Stats"
"5",2010,"Aston Villa","Premier League","team",23,27.9,38,NA,NA,100,NA,418,NA,NA,67,0,NA,1.68,52,39,13,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/8602292d/2009-2010/Aston-Villa-Stats"
"6",2010,"Aston Villa","Premier League","opponent",23,27,38,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,1.68,39,52,-13,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/8602292d/2009-2010/Aston-Villa-Stats"
"7",2010,"Atalanta","Serie A","team",31,27.8,38,NA,NA,100,NA,418,NA,NA,107,0,NA,0.92,37,53,-16,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/922493f3/2009-2010/Atalanta-Stats"
"8",2010,"Atalanta","Serie A","opponent",31,27.7,38,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,0.92,53,37,16,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/922493f3/2009-2010/Atalanta-Stats"
"9",2010,"Athletic Club","La Liga","team",29,25.2,38,NA,NA,100,NA,418,NA,NA,113,0,NA,1.42,50,53,-3,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/2b390eca/2009-2010/Athletic-Club-Stats"
"10",2010,"Athletic Club","La Liga","opponent",29,26.8,38,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,1.42,53,50,3,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/2b390eca/2009-2010/Athletic-Club-Stats"
"11",2010,"Atlético Madrid","La Liga","team",33,26,38,NA,NA,100,NA,418,NA,NA,107,0,NA,1.24,57,61,-4,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/db3b9613/2009-2010/Atletico-Madrid-Stats"
"12",2010,"Atlético Madrid","La Liga","opponent",33,26.5,38,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,1.24,61,57,4,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/db3b9613/2009-2010/Atletico-Madrid-Stats"
"13",2010,"Auxerre","Ligue 1","team",24,27.1,38,NA,NA,100,NA,418,NA,NA,97,0,NA,1.87,42,29,13,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/5ae09109/2009-2010/Auxerre-Stats"
"14",2010,"Auxerre","Ligue 1","opponent",24,26.1,38,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,1.87,29,42,-13,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/5ae09109/2009-2010/Auxerre-Stats"
"15",2010,"Barcelona","La Liga","team",24,26.3,38,NA,NA,100,NA,418,NA,NA,101,0,NA,2.61,98,24,74,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/206d90db/2009-2010/Barcelona-Stats"
"16",2010,"Barcelona","La Liga","opponent",24,26.4,38,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,2.61,24,98,-74,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/206d90db/2009-2010/Barcelona-Stats"
"17",2010,"Bari","Serie A","team",30,26.6,38,NA,NA,100,NA,418,NA,NA,110,0,NA,1.32,49,49,0,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/01baa639/2009-2010/Bari-Stats"
"18",2010,"Bari","Serie A","opponent",30,27.4,38,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,1.32,49,49,0,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/01baa639/2009-2010/Bari-Stats"
"19",2010,"Bayern Munich","Bundesliga","team",25,26.9,34,NA,NA,100,NA,374,NA,NA,92,0,NA,2.06,72,31,41,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/054efa67/2009-2010/Bayern-Munich-Stats"
"20",2010,"Bayern Munich","Bundesliga","opponent",25,25.9,34,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,2.06,31,72,-41,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/054efa67/2009-2010/Bayern-Munich-Stats"
"21",2010,"Birmingham City","Premier League","team",25,26.8,38,NA,NA,100,NA,418,NA,NA,84,0,NA,1.32,38,47,-9,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/ec79b7c2/2009-2010/Birmingham-City-Stats"
"22",2010,"Birmingham City","Premier League","opponent",25,27.2,38,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,1.32,47,38,9,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/ec79b7c2/2009-2010/Birmingham-City-Stats"
"23",2010,"Blackburn","Premier League","team",28,27.3,38,NA,NA,100,NA,417,NA,NA,110,0,NA,1.32,41,55,-14,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/e090f40b/2009-2010/Blackburn-Rovers-Stats"
"24",2010,"Blackburn","Premier League","opponent",28,27.1,38,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,1.32,55,41,14,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/e090f40b/2009-2010/Blackburn-Rovers-Stats"
"25",2010,"Bochum","Bundesliga","team",28,27.5,34,NA,NA,100,NA,374,NA,NA,97,0,NA,0.82,33,64,-31,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/b42c6323/2009-2010/Bochum-Stats"
"26",2010,"Bochum","Bundesliga","opponent",28,25.9,34,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,0.82,64,33,31,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/b42c6323/2009-2010/Bochum-Stats"
"27",2010,"Bologna","Serie A","team",31,28.9,38,NA,NA,100,NA,418,NA,NA,112,0,NA,1.11,42,55,-13,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/1d8099f8/2009-2010/Bologna-Stats"
"28",2010,"Bologna","Serie A","opponent",31,27.3,38,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,1.11,55,42,13,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/1d8099f8/2009-2010/Bologna-Stats"
"29",2010,"Bolton","Premier League","team",25,27.4,38,NA,NA,100,NA,418,NA,NA,97,0,NA,1.03,42,67,-25,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/445d3104/2009-2010/Bolton-Wanderers-Stats"
"30",2010,"Bolton","Premier League","opponent",25,27.3,38,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,1.03,67,42,25,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/445d3104/2009-2010/Bolton-Wanderers-Stats"
"31",2010,"Bordeaux","Ligue 1","team",24,26.3,38,NA,NA,100,NA,418,NA,NA,100,0,NA,1.68,58,40,18,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/123f3efe/2009-2010/Bordeaux-Stats"
"32",2010,"Bordeaux","Ligue 1","opponent",24,26.1,38,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,1.68,40,58,-18,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/123f3efe/2009-2010/Bordeaux-Stats"
"33",2010,"Boulogne","Ligue 1","team",33,26.3,38,NA,NA,100,NA,418,NA,NA,112,0,NA,0.82,31,62,-31,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/98973a5c/2009-2010/Boulogne-Stats"
"34",2010,"Boulogne","Ligue 1","opponent",33,26.3,38,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,0.82,62,31,31,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/98973a5c/2009-2010/Boulogne-Stats"
"35",2010,"Burnley","Premier League","team",27,27.9,38,NA,NA,100,NA,418,NA,NA,109,0,NA,0.79,42,82,-40,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/943e8050/2009-2010/Burnley-Stats"
"36",2010,"Burnley","Premier League","opponent",27,27.2,38,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,0.79,82,42,40,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/943e8050/2009-2010/Burnley-Stats"
"37",2010,"Cagliari","Serie A","team",27,26.6,38,NA,NA,100,NA,418,NA,NA,114,0,NA,1.16,56,58,-2,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/c4260e09/2009-2010/Cagliari-Stats"
"38",2010,"Cagliari","Serie A","opponent",27,27.5,38,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,1.16,58,56,2,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/c4260e09/2009-2010/Cagliari-Stats"
"39",2010,"Catania","Serie A","team",30,26.5,38,NA,NA,100,NA,418,NA,NA,108,0,NA,1.18,44,45,-1,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/7b046f08/2009-2010/Catania-Stats"
"40",2010,"Catania","Serie A","opponent",30,27.5,38,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,1.18,45,44,1,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/7b046f08/2009-2010/Catania-Stats"
"41",2010,"Chelsea","Premier League","team",30,28.7,38,NA,NA,100,NA,418,NA,NA,100,0,NA,2.26,103,32,71,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/cff3d9bb/2009-2010/Chelsea-Stats"
"42",2010,"Chelsea","Premier League","opponent",30,27,38,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,2.26,32,103,-71,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/cff3d9bb/2009-2010/Chelsea-Stats"
"43",2010,"Chievo","Serie A","team",26,29.1,38,NA,NA,100,NA,418,NA,NA,113,0,NA,1.16,37,42,-5,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/cc919b35/2009-2010/Chievo-Stats"
"44",2010,"Chievo","Serie A","opponent",26,27.6,38,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,1.16,42,37,5,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/cc919b35/2009-2010/Chievo-Stats"
"45",2010,"Dortmund","Bundesliga","team",25,24.5,34,NA,NA,100,NA,374,NA,NA,99,0,NA,1.68,54,42,12,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/add600ae/2009-2010/Dortmund-Stats"
"46",2010,"Dortmund","Bundesliga","opponent",25,26.1,34,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,1.68,42,54,-12,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/add600ae/2009-2010/Dortmund-Stats"
"47",2010,"Eint Frankfurt","Bundesliga","team",30,27.5,34,NA,NA,100,NA,374,NA,NA,86,0,NA,1.35,47,54,-7,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/f0ac8ee6/2009-2010/Eintracht-Frankfurt-Stats"
"48",2010,"Eint Frankfurt","Bundesliga","opponent",30,25.9,34,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,1.35,54,47,7,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/f0ac8ee6/2009-2010/Eintracht-Frankfurt-Stats"
"49",2010,"Espanyol","La Liga","team",28,25,38,NA,NA,100,NA,417,NA,NA,110,0,NA,1.16,29,46,-17,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/a8661628/2009-2010/Espanyol-Stats"
"50",2010,"Espanyol","La Liga","opponent",28,26.8,38,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,1.16,46,29,17,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/a8661628/2009-2010/Espanyol-Stats"
"51",2010,"Everton","Premier League","team",28,27.4,38,NA,NA,100,NA,418,NA,NA,97,0,NA,1.61,60,49,11,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/d3fd31cc/2009-2010/Everton-Stats"
"52",2010,"Everton","Premier League","opponent",28,27,38,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,1.61,49,60,-11,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/d3fd31cc/2009-2010/Everton-Stats"
"53",2010,"Fiorentina","Serie A","team",28,27.1,38,NA,NA,100,NA,418,NA,NA,109,0,NA,1.24,48,47,1,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/421387cf/2009-2010/Fiorentina-Stats"
"54",2010,"Fiorentina","Serie A","opponent",28,27.5,38,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,1.24,47,48,-1,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/421387cf/2009-2010/Fiorentina-Stats"
"55",2010,"Freiburg","Bundesliga","team",28,26.1,34,NA,NA,100,NA,374,NA,NA,96,0,NA,1.03,35,59,-24,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/a486e511/2009-2010/Freiburg-Stats"
"56",2010,"Freiburg","Bundesliga","opponent",28,26,34,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,1.03,59,35,24,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/a486e511/2009-2010/Freiburg-Stats"
