"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Poss","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Succ_Dribbles","Att_Dribbles","Succ_percent_Dribbles","#Pl_Dribbles","Megs_Dribbles","Carries_Carries","TotDist_Carries","PrgDist_Carries","Prog_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Targ_Receiving","Rec_Receiving","Rec_percent_Receiving","Prog_Receiving","Url","Mis_Dribbles","Dis_Dribbles"
"1",2018,"Alavés","La Liga","team",30,39.8,38,17926,2224,6338,8387,4213,625,16304,362,592,61.1,405,27,10543,52025,26598,1017,309,109,455,373,11680,9509,81.4,1122,"https://fbref.com/en/squads/8d6fd021/2017-2018/Alaves-Stats",NA,NA
"2",2018,"Alavés","La Liga","opponent",30,60.2,38,24730,2000,6833,12667,6838,956,23082,387,622,62.2,416,21,17125,86727,45233,1859,582,147,510,440,18860,16456,87.3,1667,"https://fbref.com/en/squads/8d6fd021/2017-2018/Alaves-Stats",NA,NA
"3",2018,"Amiens","Ligue 1","team",30,43.3,38,19793,2407,7759,8922,4437,544,18245,321,538,59.7,350,9,11643,64325,33401,1175,379,72,513,437,13120,10940,83.4,1373,"https://fbref.com/en/squads/25622401/2017-2018/Amiens-Stats",NA,NA
"4",2018,"Amiens","Ligue 1","opponent",30,56.7,38,24313,1756,7387,11301,7414,933,22756,325,555,58.6,361,16,15961,93300,49714,1996,641,156,515,438,17925,15463,86.3,1852,"https://fbref.com/en/squads/25622401/2017-2018/Amiens-Stats",NA,NA
"5",2018,"Angers","Ligue 1","team",27,44.7,38,20741,1705,6945,9804,5385,686,19158,311,564,55.1,342,23,13113,73653,37235,1434,463,113,510,422,14432,12407,86,1565,"https://fbref.com/en/squads/69236f98/2017-2018/Angers-Stats",NA,NA
"6",2018,"Angers","Ligue 1","opponent",27,55.3,38,24674,1890,7753,12649,6090,693,23348,413,657,62.9,456,16,16277,94716,51554,1954,562,104,551,404,18479,16300,88.2,1812,"https://fbref.com/en/squads/69236f98/2017-2018/Angers-Stats",NA,NA
"7",2018,"Arsenal","Premier League","team",30,61.5,38,29511,2394,7955,14932,8438,1256,27805,394,646,61,436,30,19525,96573,51216,2443,702,189,489,451,23745,20841,87.8,1933,"https://fbref.com/en/squads/18bb7c10/2017-2018/Arsenal-Stats",NA,NA
"8",2018,"Arsenal","Premier League","opponent",30,38.5,38,20631,2677,7110,9654,5040,779,18868,361,667,54.1,405,19,11717,59289,31393,1236,394,129,483,428,14576,11854,81.3,1056,"https://fbref.com/en/squads/18bb7c10/2017-2018/Arsenal-Stats",NA,NA
"9",2018,"Atalanta","Serie A","team",25,55.2,38,25771,2066,7492,12493,7535,1202,23989,485,740,65.5,522,16,17534,93137,49108,2095,667,187,553,554,19093,16813,88.1,2034,"https://fbref.com/en/squads/922493f3/2017-2018/Atalanta-Stats",NA,NA
"10",2018,"Atalanta","Serie A","opponent",25,44.8,38,21903,2699,7588,10663,5020,685,20042,441,703,62.7,485,24,13437,68184,35404,1314,408,115,542,545,15248,12846,84.2,1576,"https://fbref.com/en/squads/922493f3/2017-2018/Atalanta-Stats",NA,NA
"11",2018,"Athletic Club","La Liga","team",26,49.7,38,21393,2175,6471,10581,5736,843,19859,315,579,54.4,354,33,13380,71893,38268,1564,497,98,456,349,15568,12929,83,1473,"https://fbref.com/en/squads/2b390eca/2017-2018/Athletic-Club-Stats",NA,NA
"12",2018,"Athletic Club","La Liga","opponent",26,50.3,38,21984,2364,7489,10510,5298,763,20378,434,681,63.7,468,22,14463,71249,35785,1434,455,114,477,444,15640,13423,85.8,1360,"https://fbref.com/en/squads/2b390eca/2017-2018/Athletic-Club-Stats",NA,NA
"13",2018,"Atlético Madrid","La Liga","team",26,47.3,38,22798,2149,7113,11200,5921,846,21351,381,649,58.7,429,26,15384,75501,39170,1589,480,145,442,410,16754,14327,85.5,1513,"https://fbref.com/en/squads/db3b9613/2017-2018/Atletico-Madrid-Stats",NA,NA
"14",2018,"Atlético Madrid","La Liga","opponent",26,52.7,38,24642,2149,7097,12435,6657,829,23247,420,722,58.2,469,39,17060,80888,42561,1839,580,107,482,525,18581,16259,87.5,1611,"https://fbref.com/en/squads/db3b9613/2017-2018/Atletico-Madrid-Stats",NA,NA
"15",2018,"Augsburg","Bundesliga","team",27,45.6,34,18332,2085,6452,8426,4557,693,16651,251,419,59.9,282,16,10518,56585,29165,1011,343,87,460,368,12522,10179,81.3,1479,"https://fbref.com/en/squads/0cdc4311/2017-2018/Augsburg-Stats",NA,NA
"16",2018,"Augsburg","Bundesliga","opponent",27,54.4,34,21469,2102,6343,10870,5500,799,19791,327,563,58.1,361,19,13525,71365,37318,1547,479,114,534,404,15647,13340,85.3,1627,"https://fbref.com/en/squads/0cdc4311/2017-2018/Augsburg-Stats",NA,NA
"17",2018,"Barcelona","La Liga","team",25,63.1,38,29152,2344,7875,14424,8948,1394,27759,611,993,61.5,670,42,21602,106707,58284,2465,802,255,439,409,24038,21631,90,1982,"https://fbref.com/en/squads/206d90db/2017-2018/Barcelona-Stats",NA,NA
"18",2018,"Barcelona","La Liga","opponent",25,36.9,38,19124,2402,6829,8766,4773,689,17838,325,525,61.9,354,18,12453,65827,34173,1300,439,152,415,358,13713,11580,84.4,1171,"https://fbref.com/en/squads/206d90db/2017-2018/Barcelona-Stats",NA,NA
"19",2018,"Bayern Munich","Bundesliga","team",28,65.9,34,27560,1897,6645,14579,8073,1194,26139,342,529,64.7,363,15,20716,100380,53524,2428,697,181,432,388,22679,20441,90.1,1974,"https://fbref.com/en/squads/054efa67/2017-2018/Bayern-Munich-Stats",NA,NA
"20",2018,"Bayern Munich","Bundesliga","opponent",28,34.1,34,16139,2562,6442,7494,3197,484,14681,261,478,54.6,293,12,9592,50262,26994,959,315,83,393,338,11160,9043,81,991,"https://fbref.com/en/squads/054efa67/2017-2018/Bayern-Munich-Stats",NA,NA
"21",2018,"Benevento","Serie A","team",41,47.7,38,22160,2698,8463,10498,4844,663,20460,467,747,62.5,515,30,14874,84429,47024,1597,492,133,472,470,16300,14168,86.9,1286,"https://fbref.com/en/squads/4fcb34fd/2017-2018/Benevento-Stats",NA,NA
"22",2018,"Benevento","Serie A","opponent",41,52.3,38,24083,2025,6540,12104,7011,989,22392,403,646,62.4,447,23,16340,81476,46077,1936,604,156,431,436,18382,16154,87.9,1886,"https://fbref.com/en/squads/4fcb34fd/2017-2018/Benevento-Stats",NA,NA
"23",2018,"Betis","La Liga","team",29,57.7,38,25191,2616,8352,12818,5701,682,23853,374,574,65.2,397,22,18198,93278,48962,1865,572,148,460,385,19575,17551,89.7,1399,"https://fbref.com/en/squads/fc536746/2017-2018/Real-Betis-Stats",NA,NA
"24",2018,"Betis","La Liga","opponent",29,42.3,38,19681,1780,5609,9752,5584,942,18197,318,498,63.9,349,20,12997,67811,33758,1454,470,177,422,396,14404,12153,84.4,1385,"https://fbref.com/en/squads/fc536746/2017-2018/Real-Betis-Stats",NA,NA
