"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Age","Poss","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G_minus_PK","PK","PKatt","CrdY","CrdR","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Expected","npxG_Expected","xA_Expected","npxG+xA_Expected","xG_Per","xA_Per","xG+xA_Per","npxG_Per","npxG+xA_Per","Url","xAG_Expected","npxG+xAG_Expected","xAG_Per","xG+xAG_Per","npxG+xAG_Per"
"1",2010,"Almería","La Liga","team",24,25.6,NA,38,417,NA,NA,40,21,38,2,3,98,7,1.05,0.55,1.61,1,1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/78ecf4bb/2009-2010/Almeria-Stats",NA,NA,NA,NA,NA
"2",2010,"Almería","La Liga","opponent",24,26.8,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/78ecf4bb/2009-2010/Almeria-Stats",NA,NA,NA,NA,NA
"3",2010,"Arsenal","Premier League","team",30,25.3,NA,38,418,NA,NA,79,53,76,3,4,56,1,2.08,1.39,3.47,2,3.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/18bb7c10/2009-2010/Arsenal-Stats",NA,NA,NA,NA,NA
"4",2010,"Arsenal","Premier League","opponent",30,27.1,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/18bb7c10/2009-2010/Arsenal-Stats",NA,NA,NA,NA,NA
"5",2010,"Aston Villa","Premier League","team",23,27.9,NA,38,418,NA,NA,48,34,43,5,8,58,2,1.26,0.89,2.16,1.13,2.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/8602292d/2009-2010/Aston-Villa-Stats",NA,NA,NA,NA,NA
"6",2010,"Aston Villa","Premier League","opponent",23,27,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/8602292d/2009-2010/Aston-Villa-Stats",NA,NA,NA,NA,NA
"7",2010,"Atalanta","Serie A","team",31,27.8,NA,38,418,NA,NA,37,16,34,3,4,104,8,0.97,0.42,1.39,0.89,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/922493f3/2009-2010/Atalanta-Stats",NA,NA,NA,NA,NA
"8",2010,"Atalanta","Serie A","opponent",31,27.7,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/922493f3/2009-2010/Atalanta-Stats",NA,NA,NA,NA,NA
"9",2010,"Athletic Club","La Liga","team",29,25.2,NA,38,418,NA,NA,48,24,43,5,10,91,10,1.26,0.63,1.89,1.13,1.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/2b390eca/2009-2010/Athletic-Club-Stats",NA,NA,NA,NA,NA
"10",2010,"Athletic Club","La Liga","opponent",29,26.8,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/2b390eca/2009-2010/Athletic-Club-Stats",NA,NA,NA,NA,NA
"11",2010,"Atlético Madrid","La Liga","team",33,26,NA,38,418,NA,NA,56,27,53,3,5,87,7,1.47,0.71,2.18,1.39,2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/db3b9613/2009-2010/Atletico-Madrid-Stats",NA,NA,NA,NA,NA
"12",2010,"Atlético Madrid","La Liga","opponent",33,26.5,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/db3b9613/2009-2010/Atletico-Madrid-Stats",NA,NA,NA,NA,NA
"13",2010,"Auxerre","Ligue 1","team",24,27.1,NA,38,418,NA,NA,41,21,39,2,2,55,2,1.08,0.55,1.63,1.03,1.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/5ae09109/2009-2010/Auxerre-Stats",NA,NA,NA,NA,NA
"14",2010,"Auxerre","Ligue 1","opponent",24,26.1,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/5ae09109/2009-2010/Auxerre-Stats",NA,NA,NA,NA,NA
"15",2010,"Barcelona","La Liga","team",24,26.3,NA,38,418,NA,NA,95,56,92,3,3,74,5,2.5,1.47,3.97,2.42,3.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/206d90db/2009-2010/Barcelona-Stats",NA,NA,NA,NA,NA
"16",2010,"Barcelona","La Liga","opponent",24,26.4,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/206d90db/2009-2010/Barcelona-Stats",NA,NA,NA,NA,NA
"17",2010,"Bari","Serie A","team",30,26.6,NA,38,418,NA,NA,48,21,43,5,6,59,4,1.26,0.55,1.82,1.13,1.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/01baa639/2009-2010/Bari-Stats",NA,NA,NA,NA,NA
"18",2010,"Bari","Serie A","opponent",30,27.4,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/01baa639/2009-2010/Bari-Stats",NA,NA,NA,NA,NA
"19",2010,"Bayern Munich","Bundesliga","team",25,26.9,NA,34,374,NA,NA,68,44,66,2,3,44,1,2,1.29,3.29,1.94,3.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/054efa67/2009-2010/Bayern-Munich-Stats",NA,NA,NA,NA,NA
"20",2010,"Bayern Munich","Bundesliga","opponent",25,25.9,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/054efa67/2009-2010/Bayern-Munich-Stats",NA,NA,NA,NA,NA
"21",2010,"Birmingham City","Premier League","team",25,26.8,NA,38,418,NA,NA,36,22,34,2,4,73,1,0.95,0.58,1.53,0.89,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/ec79b7c2/2009-2010/Birmingham-City-Stats",NA,NA,NA,NA,NA
"22",2010,"Birmingham City","Premier League","opponent",25,27.2,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/ec79b7c2/2009-2010/Birmingham-City-Stats",NA,NA,NA,NA,NA
"23",2010,"Blackburn","Premier League","team",28,27.3,NA,38,417,NA,NA,38,22,35,3,3,57,2,1,0.58,1.58,0.92,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/e090f40b/2009-2010/Blackburn-Rovers-Stats",NA,NA,NA,NA,NA
"24",2010,"Blackburn","Premier League","opponent",28,27.1,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/e090f40b/2009-2010/Blackburn-Rovers-Stats",NA,NA,NA,NA,NA
"25",2010,"Bochum","Bundesliga","team",28,27.5,NA,34,374,NA,NA,31,21,31,0,0,67,4,0.91,0.62,1.53,0.91,1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/b42c6323/2009-2010/Bochum-Stats",NA,NA,NA,NA,NA
"26",2010,"Bochum","Bundesliga","opponent",28,25.9,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/b42c6323/2009-2010/Bochum-Stats",NA,NA,NA,NA,NA
"27",2010,"Bologna","Serie A","team",31,28.9,NA,38,418,NA,NA,40,17,37,3,3,71,3,1.05,0.45,1.5,0.97,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/1d8099f8/2009-2010/Bologna-Stats",NA,NA,NA,NA,NA
"28",2010,"Bologna","Serie A","opponent",31,27.3,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/1d8099f8/2009-2010/Bologna-Stats",NA,NA,NA,NA,NA
"29",2010,"Bolton","Premier League","team",25,27.4,NA,38,418,NA,NA,42,24,38,4,4,72,5,1.11,0.63,1.74,1,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/445d3104/2009-2010/Bolton-Wanderers-Stats",NA,NA,NA,NA,NA
"30",2010,"Bolton","Premier League","opponent",25,27.3,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/445d3104/2009-2010/Bolton-Wanderers-Stats",NA,NA,NA,NA,NA
"31",2010,"Bordeaux","Ligue 1","team",24,26.3,NA,38,418,NA,NA,53,31,48,5,7,65,6,1.39,0.82,2.21,1.26,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/123f3efe/2009-2010/Bordeaux-Stats",NA,NA,NA,NA,NA
"32",2010,"Bordeaux","Ligue 1","opponent",24,26.1,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/123f3efe/2009-2010/Bordeaux-Stats",NA,NA,NA,NA,NA
"33",2010,"Boulogne","Ligue 1","team",33,26.3,NA,38,418,NA,NA,29,18,27,2,3,76,6,0.76,0.47,1.24,0.71,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/98973a5c/2009-2010/Boulogne-Stats",NA,NA,NA,NA,NA
"34",2010,"Boulogne","Ligue 1","opponent",33,26.3,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/98973a5c/2009-2010/Boulogne-Stats",NA,NA,NA,NA,NA
"35",2010,"Burnley","Premier League","team",27,27.9,NA,38,418,NA,NA,42,25,36,6,6,55,2,1.11,0.66,1.76,0.95,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/943e8050/2009-2010/Burnley-Stats",NA,NA,NA,NA,NA
"36",2010,"Burnley","Premier League","opponent",27,27.2,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/943e8050/2009-2010/Burnley-Stats",NA,NA,NA,NA,NA
"37",2010,"Cagliari","Serie A","team",27,26.6,NA,38,418,NA,NA,54,30,48,6,7,80,7,1.42,0.79,2.21,1.26,2.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/c4260e09/2009-2010/Cagliari-Stats",NA,NA,NA,NA,NA
"38",2010,"Cagliari","Serie A","opponent",27,27.5,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/c4260e09/2009-2010/Cagliari-Stats",NA,NA,NA,NA,NA
"39",2010,"Catania","Serie A","team",30,26.5,NA,38,418,NA,NA,44,19,37,7,9,91,7,1.16,0.5,1.66,0.97,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/7b046f08/2009-2010/Catania-Stats",NA,NA,NA,NA,NA
"40",2010,"Catania","Serie A","opponent",30,27.5,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/7b046f08/2009-2010/Catania-Stats",NA,NA,NA,NA,NA
"41",2010,"Chelsea","Premier League","team",30,28.7,NA,38,418,NA,NA,99,64,88,11,12,54,5,2.61,1.68,4.29,2.32,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/cff3d9bb/2009-2010/Chelsea-Stats",NA,NA,NA,NA,NA
"42",2010,"Chelsea","Premier League","opponent",30,27,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/cff3d9bb/2009-2010/Chelsea-Stats",NA,NA,NA,NA,NA
"43",2010,"Chievo","Serie A","team",26,29.1,NA,38,418,NA,NA,36,16,35,1,1,102,5,0.95,0.42,1.37,0.92,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/cc919b35/2009-2010/Chievo-Stats",NA,NA,NA,NA,NA
"44",2010,"Chievo","Serie A","opponent",26,27.6,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/cc919b35/2009-2010/Chievo-Stats",NA,NA,NA,NA,NA
"45",2010,"Dortmund","Bundesliga","team",25,24.5,NA,34,374,NA,NA,51,32,48,3,4,49,0,1.5,0.94,2.44,1.41,2.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/add600ae/2009-2010/Dortmund-Stats",NA,NA,NA,NA,NA
"46",2010,"Dortmund","Bundesliga","opponent",25,26.1,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/add600ae/2009-2010/Dortmund-Stats",NA,NA,NA,NA,NA
"47",2010,"Eint Frankfurt","Bundesliga","team",30,27.5,NA,34,374,NA,NA,47,26,45,2,3,62,5,1.38,0.76,2.15,1.32,2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/f0ac8ee6/2009-2010/Eintracht-Frankfurt-Stats",NA,NA,NA,NA,NA
"48",2010,"Eint Frankfurt","Bundesliga","opponent",30,25.9,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/f0ac8ee6/2009-2010/Eintracht-Frankfurt-Stats",NA,NA,NA,NA,NA
